,Area,Mean,Min,Max,X,Y,XM,YM,Perim.,Major,Minor,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,1120.807,85.731,52,127,1317.826,557.463,1317.761,557.389,123.465,41.726,34.201,149.199,42.173,1302.051,543.321,141.595,34.181
2,788.224,90.473,55,127,1289.977,575.995,1290.053,576.05,103.56,32.238,31.131,125.234,33.014,1280.305,561.814,126.989,30.799
3,695.747,85.109,56,126,1299.523,607.38,1299.481,607.336,97.472,32.236,27.48,166.181,32.781,1283.216,605.478,167.634,27.454
4,1079.934,87.895,54,128,1300.91,639.064,1300.538,638.984,145.288,39.746,34.595,164.718,42.095,1285.784,624.998,140.612,35.071
5,845.868,83.582,53,128,1326.08,591.941,1326.056,592.004,107.522,33.696,31.962,123.203,34.947,1310.099,583.218,155.695,31.4
6,327.98,84.921,57,124,1328.355,623.989,1328.32,623.936,66.962,21.952,19.023,139.632,22.678,1320.545,616.266,141.746,19.455
7,235.385,74.034,60,115,1333.302,643.674,1333.262,643.687,56.379,18.329,16.351,82.227,18.564,1331.675,652.909,75.579,16.267
8,336.043,74.109,57,112,1345.134,612.652,1345.278,612.564,67.659,21.255,20.13,162.694,21.994,1334.072,610.444,163.258,20.377
9,450.364,73.047,55,123,1354.107,634.335,1354.136,634.372,78.161,25.738,22.279,154.069,26.731,1341.092,629.793,154.584,22.733
10,185.394,75.815,60,117,1375.042,639.374,1375.009,639.377,51.731,17.526,13.469,25.675,18.047,1367.976,644.176,33.389,14.362
11,803.735,89.645,56,127,1358.14,547.427,1358.195,547.483,105.248,34.347,29.794,146.99,34.96,1351.366,531.334,119.327,29.817
12,950.132,80.875,56,125,1356.639,578.661,1356.649,578.636,113.041,37.295,32.438,143.114,38.191,1341.264,566.951,147.45,32.863
13,897.648,84.108,59,126,1397.794,567.189,1397.925,567.514,109.988,35.748,31.972,127.527,36.388,1383.044,556.334,144.964,32.239
14,1169.685,92.178,56,130,1375.841,612.667,1375.884,612.716,125.326,40.435,36.832,128.984,40.885,1357.017,604.45,150.106,36.45
15,858.124,81.451,50,127,1408.995,600.624,1409.083,600.702,108.461,34.795,31.401,158.453,36.175,1391.606,596.916,169.913,31.283
16,1092.865,91.892,56,129,1395.843,654.97,1395.927,655.07,120.908,38.384,36.251,166.429,39.024,1376.195,652.738,169.38,35.959
17,866.979,86.002,55,128,1420.765,630.12,1420.761,630.127,108.862,36.055,30.617,172.759,37.007,1403.935,621.574,151.538,30.822
18,822.06,82.891,53,129,1436.648,585.948,1436.835,586.134,105.497,34.623,30.23,138.276,35.616,1420.715,578.252,157.38,29.969
19,362.93,88.045,59,128,1449.51,612.529,1449.474,612.505,70.295,23.068,20.032,149.271,24.221,1440.407,604.964,146.535,20.52
20,252.127,80.183,58,123,1427.606,561.604,1427.583,561.599,59.113,19.806,16.208,11.58,20.035,1417.805,564.382,18.435,15.96
21,217.353,78.113,58,122,1449.72,566.954,1449.79,566.967,56.16,20.521,13.486,146.344,20.325,1442.12,559.588,129.188,13.187
